table_name,column_name,foreign_table_name,foreign_column_name,constraint_name
player_club_competition_totals,club_id,clubs,club_id,player_club_competition_totals_club_id_fkey
player_club_competition_totals,competition_id,competitions,competition_id,player_club_competition_totals_competition_id_fkey
player_club_competition_totals,player_uid,players,player_uid,player_club_competition_totals_player_uid_fkey
player_club_total_competition,club_id,clubs,club_id,player_club_total_competition_club_id_fkey
player_club_total_competition,competition_id,competitions,competition_id,player_club_total_competition_competition_id_fkey
player_club_totals,club_id,clubs,club_id,player_club_totals_club_id_fkey
player_competition_totals,competition_id,competitions,competition_id,player_competition_totals_competition_id_fkey
player_competition_totals,player_uid,players,player_uid,player_competition_totals_player_uid_fkey
player_season_stats,club_id,clubs,club_id,player_season_stats_club_id_fkey
player_season_stats,competition_id,competitions,competition_id,player_season_stats_competition_id_fkey
player_season_stats,player_uid,players,player_uid,player_season_stats_player_uid_fkey
