player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key
Alex Oxlade-Chamberlain,alex oxlade-chamberlain,eng ENG,2017/18,Premier League,2 Teams,35,3,1734,23,MF,7,10,3,0,0,17,18,19.3,alex oxlade-chamberlain|eng eng|1994,alex oxlade-chamberlain|2017/18
Robert Snodgrass,robert snodgrass,sct SCO,2016/17,Premier League,2 Teams,35,7,2548,28,"MF,FW",4,11,5,2,2,27,8,28.3,robert snodgrass|sct sco|1988,robert snodgrass|2016/17
Saido Berahino,saido berahino,bi BDI,2016/17,Premier League,2 Teams,17,0,963,22,FW,0,0,0,0,0,11,6,10.7,saido berahino|bi bdi|1994,saido berahino|2016/17
Morgan Schneiderlin,morgan schneiderlin,fr FRA,2016/17,Premier League,2 Teams,17,1,1073,26,MF,0,1,1,0,0,12,5,11.9,morgan schneiderlin|fr fra|1990,morgan schneiderlin|2016/17
Costel Pantilimon,costel pantilimon,ro ROU,2015/16,Premier League,2 Teams,17,0,1530,28,GK,0,0,0,0,0,17,0,17,costel pantilimon|ro rou|1987,costel pantilimon|2015/16
AdlÃ¨ne Guedioura,adla¨ne guedioura,dz ALG,2016/17,Premier League,2 Teams,17,0,861,30,MF,0,0,0,0,0,9,8,9.6,adla¨ne guedioura|dz alg|1986,adla¨ne guedioura|2016/17
Kevin Wimmer,kevin wimmer,at AUT,2017/18,Premier League,2 Teams,17,0,1323,24,DF,0,0,0,0,0,14,3,14.7,kevin wimmer|at aut|1993,kevin wimmer|2017/18
Ryan Bennett,ryan bennett,eng ENG,2019/20,Premier League,2 Teams,16,0,937,29,DF,0,0,0,0,0,10,6,10.4,ryan bennett|eng eng|1990,ryan bennett|2019/20
Bryan Oviedo,bryan oviedo,cr CRC,2016/17,Premier League,2 Teams,16,0,1323,26,"DF,MF",0,0,0,0,0,16,0,14.7,bryan oviedo|cr crc|1990,bryan oviedo|2016/17
Jordon Mutch,jordon mutch,eng ENG,2014/15,Premier League,2 Teams,16,0,853,22,MF,1,1,0,0,0,10,6,9.5,jordon mutch|eng eng|1992,jordon mutch|2014/15
Andros Townsend,andros townsend,eng ENG,2015/16,Premier League,2 Teams,16,4,1154,24,"FW,MF",2,6,4,0,0,12,4,12.8,andros townsend|eng eng|1991,andros townsend|2015/16
Ryan Mason,ryan mason,eng ENG,2016/17,Premier League,2 Teams,16,1,927,25,MF,1,2,1,0,0,11,5,10.3,ryan mason|eng eng|1991,ryan mason|2016/17
Islam Slimani,islam slimani,dz ALG,2017/18,Premier League,2 Teams,16,1,381,29,FW,1,2,1,0,0,3,13,4.2,islam slimani|dz alg|1988,islam slimani|2017/18
Robert Huth,robert huth,de GER,2014/15,Premier League,2 Teams,15,1,1182,29,DF,0,1,1,0,0,14,1,13.1,robert huth|de ger|1985,robert huth|2014/15
Daniel Sturridge,daniel sturridge,eng ENG,2017/18,Premier League,2 Teams,15,2,549,27,FW,1,3,2,0,0,7,8,6.1,daniel sturridge|eng eng|1990,daniel sturridge|2017/18
Danny Simpson,danny simpson,eng ENG,2014/15,Premier League,2 Teams,15,0,1252,27,DF,0,0,0,0,0,14,1,13.9,danny simpson|eng eng|1987,danny simpson|2014/15
Mohamed DiamÃ©,mohamed diama©,sn SEN,2014/15,Premier League,2 Teams,15,4,934,27,MF,0,4,4,0,0,10,5,10.4,mohamed diama©|sn sen|1987,mohamed diama©|2014/15
Kyle Naughton,kyle naughton,eng ENG,2014/15,Premier League,2 Teams,15,0,1181,25,DF,1,1,0,0,0,15,0,13.1,kyle naughton|eng eng|1989,kyle naughton|2014/15
Yannick Bolasie,yannick bolasie,cd COD,2016/17,Premier League,2 Teams,14,1,1048,27,"FW,MF",4,5,1,0,0,12,2,11.6,yannick bolasie|cd cod|1989,yannick bolasie|2016/17
