table_name,column_name,data_type,is_nullable
clubs,club_id,integer,NO
clubs,club_name,text,NO
clubs,country,text,YES
clubs,created_at,timestamp with time zone,YES
competitions,competition_id,integer,NO
competitions,competition_name,text,NO
competitions,competition_group,text,YES
competitions,created_at,timestamp with time zone,YES
player_club_competition_totals,player_uid,text,NO
player_club_competition_totals,club_id,integer,NO
player_club_competition_totals,competition_id,integer,NO
player_club_competition_totals,appearances,integer,YES
player_club_competition_totals,goals,integer,YES
player_club_competition_totals,assists,integer,YES
player_club_competition_totals,minutes,integer,YES
player_club_competition_totals,seasons_count,integer,YES
player_club_totals,player_uid,text,NO
player_club_totals,club_id,integer,NO
player_club_totals,appearances,integer,NO
player_club_totals,starts,integer,NO
player_club_totals,sub_appearances,integer,NO
player_club_totals,minutes,integer,NO
player_club_totals,goals,integer,NO
player_club_totals,assists,integer,NO
player_club_totals,seasons,integer,NO
player_club_totals,first_season_start_year,integer,YES
player_club_totals,last_season_start_year,integer,YES
player_competition_totals,player_uid,text,NO
player_competition_totals,competition_id,integer,NO
player_competition_totals,appearances,integer,YES
player_competition_totals,goals,integer,YES
player_competition_totals,assists,integer,YES
player_competition_totals,minutes,integer,YES
player_competition_totals,seasons_count,integer,YES
player_season_stats,id,bigint,NO
player_season_stats,player_uid,text,YES
player_season_stats,competition_id,integer,YES
player_season_stats,club_id,integer,YES
player_season_stats,season_label,text,NO
player_season_stats,season_start_year,integer,NO
player_season_stats,position_raw,text,YES
player_season_stats,position_bucket,text,YES
player_season_stats,age,integer,YES
player_season_stats,appearances,integer,YES
player_season_stats,starts,integer,YES
player_season_stats,sub_appearances,integer,YES
player_season_stats,minutes,integer,YES
player_season_stats,goals,integer,YES
player_season_stats,assists,integer,YES
player_season_stats,pens_scored,integer,YES
player_season_stats,pens_attempted,integer,YES
player_season_stats,goals_against,integer,YES
player_season_stats,clean_sheets,integer,YES
player_season_stats,shots_on_target_against,integer,YES
player_season_stats,saves,integer,YES
player_season_stats,wins,integer,YES
player_season_stats,draws,integer,YES
player_season_stats,losses,integer,YES
player_season_stats,tackles_won,integer,YES
player_season_stats,interceptions,integer,YES
player_season_stats,tackles_interceptions,integer,YES
player_season_stats,is_u19,boolean,YES
player_season_stats,is_u21,boolean,YES
player_season_stats,is_35plus,boolean,YES
player_season_stats,created_at,timestamp with time zone,YES
player_totals,player_uid,text,NO
player_totals,appearances,integer,NO
player_totals,starts,integer,NO
player_totals,sub_appearances,integer,NO
player_totals,minutes,integer,NO
player_totals,goals,integer,NO
player_totals,assists,integer,NO
player_totals,seasons,integer,NO
player_totals,first_season_start_year,integer,YES
player_totals,last_season_start_year,integer,YES
players,player_uid,text,NO
players,player_name,text,NO
players,nationality_raw,text,YES
players,nationality_norm,text,YES
players,birth_year,integer,YES
players,created_at,timestamp with time zone,YES
players,normalized_player_name,text,YES
season_stats_staging,player_uid,text,YES
season_stats_staging,player_name,text,YES
season_stats_staging,normalized_player_name,text,YES
season_stats_staging,nationality_raw,text,YES
season_stats_staging,nationality_norm,text,YES
season_stats_staging,season_label,text,YES
season_stats_staging,season_start_year,integer,YES
season_stats_staging,season,text,YES
season_stats_staging,competition,text,YES
season_stats_staging,club_raw,text,YES
season_stats_staging,club_clean,text,YES
season_stats_staging,club_country_code,text,YES
season_stats_staging,appearances,integer,YES
season_stats_staging,goals,integer,YES
season_stats_staging,assists,integer,YES
season_stats_staging,minutes,integer,YES
season_stats_staging,starts,integer,YES
season_stats_staging,sub_appearances,integer,YES
season_stats_staging,age_in_season,numeric,YES
season_stats_staging,position,text,YES
season_stats_staging,position_raw,text,YES
season_stats_staging,position_bucket,text,YES
season_stats_staging,is_u19,boolean,YES
season_stats_staging,is_u21,boolean,YES
season_stats_staging,is_35plus,boolean,YES
season_stats_staging,goals_plus_assists,integer,YES
season_stats_staging,goals_minus_pk,integer,YES
season_stats_staging,penalty_goals,integer,YES
season_stats_staging,penalty_attempts,integer,YES
season_stats_staging,nineties_played,numeric,YES
season_stats_staging,gk_goals_against,integer,YES
season_stats_staging,gk_clean_sheets,integer,YES
season_stats_staging,gk_shots_on_target_against,integer,YES
season_stats_staging,gk_saves,integer,YES
season_stats_staging,gk_wins,integer,YES
season_stats_staging,gk_draws,integer,YES
season_stats_staging,gk_losses,integer,YES
season_stats_staging,def_tackles_won,integer,YES
season_stats_staging,def_interceptions,integer,YES
season_stats_staging,def_tackles_plus_interceptions,integer,YES
season_stats_staging,birth_year,integer,YES
season_stats_staging,source_file,text,YES
season_stats_staging,row_source,text,YES
